id,name,line_id,prefecture_id
1115,津川,46,15
1116,三川,46,15
1117,五十島,46,15
1118,東下条,46,15
1119,咲花,46,15
1120,馬下,46,15
1121,猿和田,46,15
1122,五泉,46,15
1123,北五泉,46,15
1124,新関,46,15
1125,東新津,46,15
1126,新津,46,15
1127,会津若松,47,7
1128,七日町,47,7
1129,西若松,47,7
1130,会津本郷,47,7
1131,会津高田,47,7
1132,根岸,47,7
1133,新鶴,47,7
1134,若宮,47,7
1135,会津坂下,47,7
1136,塔寺,47,7
1137,会津坂本,47,7
1138,会津柳津,47,7
1139,郷戸,47,7
1140,滝谷,47,7
1141,会津桧原,47,7
1142,会津西方,47,7
1143,会津宮下,47,7
1144,早戸,47,7
1145,会津水沼,47,7
1146,会津中川,47,7
1147,会津川口,47,7
1148,本名,47,7
1149,会津越川,47,7
1150,会津横田,47,7
1151,会津大塩,47,7
1152,会津塩沢,47,7
1153,会津蒲生,47,7
1154,只見,47,7
1155,田子倉,47,7
1156,大白川,47,15
1157,柿ノ木,47,15
1158,入広瀬,47,15
1159,上条,47,15
1160,越後須原,47,15
1161,魚沼田中,47,15
1162,越後広瀬,47,15
1163,藪神,47,15
1164,小出,47,15
1165,いわき,48,7
1166,赤井,48,7
1167,小川郷,48,7
1168,江田,48,7
1169,川前,48,7
1170,夏井,48,7
1171,小野新町,48,7
1172,神俣,48,7
1173,菅谷,48,7
1174,大越,48,7
1175,磐城常葉,48,7
1176,船引,48,7
1177,要田,48,7
1178,三春,48,7
1179,舞木,48,7
1180,郡山,48,7
1181,黒磯,22,9
1182,高久,22,9
1183,黒田原,22,9
1184,豊原,22,9
1185,白坂,22,7
1186,新白河,22,7
1187,白河,22,7
1188,久田野,22,7
1189,泉崎,22,7
1190,矢吹,22,7
1191,鏡石,22,7
1192,須賀川,22,7
1193,安積永盛,22,7
1194,郡山,22,7
1195,日和田,22,7
1196,五百川,22,7
1197,本宮,22,7
1198,杉田,22,7
1199,二本松,22,7
1200,安達,22,7
1201,松川,22,7
1202,金谷川,22,7
1203,南福島,22,7
1204,福島,22,7
1205,東福島,22,7
1206,伊達,22,7
1207,桑折,22,7
1208,藤田,22,7
1209,貝田,22,7
1210,越河,22,4
1211,白石,22,4
1212,東白石,22,4
1213,北白川,22,4
1214,大河原,22,4
1215,船岡,22,4
1216,槻木,22,4
1217,岩沼,22,4
1218,館腰,22,4
1219,名取,22,4
1220,南仙台,22,4
1221,太子堂,22,4
1222,長町,22,4
1223,仙台,22,4
1224,東仙台,22,4
1225,岩切,22,4
1226,新利府,22,4
1227,利府,22,4
1228,陸前山王,22,4
1229,国府多賀城,22,4
1230,塩釜,22,4
1231,松島,22,4
1232,愛宕,22,4
1233,品井沼,22,4
1234,鹿島台,22,4
1235,松山町,22,4
1236,小牛田,22,4
1237,田尻,22,4
1238,瀬峰,22,4
1239,梅ケ沢,22,4
1240,新田,22,4
1241,石越,22,4
1242,油島,22,3
1243,花泉,22,3
1244,清水原,22,3
1245,有壁,22,4
1246,一ノ関,22,3
1247,山ノ目,22,3
1248,平泉,22,3
1249,前沢,22,3
1250,陸中折居,22,3
1251,水沢,22,3
1252,金ケ崎,22,3
1253,六原,22,3
1254,北上,22,3
1255,村崎野,22,3
1256,花巻,22,3
1257,花巻空港,22,3
1258,石鳥谷,22,3
1259,日詰,22,3
1260,紫波中央,22,3
1261,古館,22,3
1262,矢幅,22,3
1263,岩手飯岡,22,3
1264,仙北町,22,3
1265,盛岡,22,3
1266,東京,51,13
